OBJECTID,WARD,ADDNUM,ADDSTR,LTLOCATION,RDLOCATION,OWNERSHIP,PARK,SPECIES,DBH,TREATMENT,EABTAGNUMB,DEDTAGNUMB
6,13,71,BIRCH AVE,Front,N/A,City,0,Maple Red,42,,0,0
7,13,71,BIRCH AVE,Front,N/A,City,0,Cherry Choke,28,,0,0
12,13,57,BIRCH AVE,Front,N/A,City,0,Maple Sugar,67,,0,0
41,13,13,BIRCH AVE,Front,N/A,City,0,Maple Red,39,,0,0
44,13,7,BIRCH AVE,Front,N/A,City,0,Locust Honey,61,,0,0
52,13,8,BIRCH AVE,Front,N/A,City,0,Ash Species,72,,0,0
59,13,16,BIRCH AVE,Front,N/A,City,0,Birch White,18,,0,0
70,13,34,BIRCH AVE,Side,N/A,City,0,Apple Species,19,,0,0
73,13,45,BIRCH AVE,Oppos,N/A,City,0,Various Species,0,,0,0
82,13,30,POND ST,Side,N/A,City,0,Pine Red,19,,0,0
86,13,35,MACNABB PL,Front,N/A,City,0,Spruce White,9,,0,0
89,13,50,MACNABB PL,Front,N/A,City,0,Basswood,51,,0,0
110,13,80,MACNABB PL,Front,N/A,City,0,Maple Sugar,30,,0,0
114,13,755,MACNABB PL,Front,N/A,City,0,Spruce Colorado,42,,0,0
115,13,65,MACNABB PL,Front,N/A,City,0,Basswood,23,,0,0
121,13,45,POND ST,Side,N/A,City,0,Maple Sugar,29,,0,0
125,13,65,WHITEMARL DR,Side,N/A,City,0,Locust  Black,34,,0,0
127,11,1961,MULBERRY CRES,Front,N/A,City,0,Spruce Colorado,15,,0,0
138,11,1938,MULBERRY CRES,Front,N/A,Joint,0,Spruce Colorado,35,,0,0
155,11,2036,OGILVIE RD,Front,Median,City,0,Hackberry,10,,0,0
156,11,2060,OGILVIE RD,Front,N/A,City,0,Ash White,42,,0,0
161,11,2060,OGILVIE RD,Front,Median,City,0,Hackberry,12,,0,0
167,11,2053#19,JASMINE CRES,Front,Median,City,0,Locust Honey,12,,0,0
178,18,2185,ARCH ST,Front,N/A,City,0,Ash White,35,EAB,656,0
184,18,1900,FLORIDA AVE,Front,N/A,City,-1,Ash Species,49,EAB,678,0
187,14,320,JACK PURCELL LANE,Side,N/A,City,-1,Ash White,57,EAB,403,0
191,14,304,O'CONNOR ST,Front,Boulevard,City,0,Ash White,21,EAB,392,0
197,1,6244,JEANNE D'ARC BLVD,Front,N/A,City,-1,Ash Species,23,EAB,529,0
200,1,6244,JEANNE D'ARC BLVD,Front,N/A,City,-1,Ash Species,30,EAB,524,0
210,1,6940,BILBERRY DR,Front,N/A,City,-1,Ash Species,39,EAB,506,0
212,1,6940,BILBERRY DR,Front,N/A,City,-1,Ash Species,32,EAB,503,0
227,18,2456,ALTA VISTA DR,Front,Boulevard,City,0,Ash White,46,EAB,701,0
228,18,1560,HEATHERINGTON RD,Front,N/A,City,-1,Ash White,37,EAB,686,0
229,18,1560,HEATHERINGTON RD,Front,N/A,City,-1,Ash White,50,EAB,691,0
239,18,2139,TAWNEY RD,Front,N/A,City,-1,Ash White,34,EAB,633,0
244,18,2139,TAWNEY RD,Front,N/A,City,-1,Ash White,25,EAB,640,0
253,18,2198,ARCH ST,Side,N/A,City,0,Ash White,74,EAB,666,0
265,14,320,JACK PURCELL LANE,Side,N/A,City,-1,Ash White,46,EAB,402,0
272,11,2071,JASMINE CRES,Side,Median,City,0,Locust Honey,14,,0,0
276,11,2071,JASMINE CRES,Side,N/A,City,0,Lilac  Japanese,11,,0,0
277,11,2071,JASMINE CRES,Side,N/A,City,0,Ginkgo,8,,0,0
283,11,2069#48,JASMINE CRES,Side,Median,City,0,Hackberry,12,,0,0
291,11,1269,GREGORY CRT,Side,N/A,City,0,Spruce Colorado,40,,0,0
296,11,986,LAPORTE ST,Rear,N/A,City,0,Maple Manitoba,30,,0,0
297,11,986,LAPORTE ST,Rear,N/A,City,0,Elm American,56,,0,0
303,11,2045,QUINCY AVE,Front,N/A,City,0,Maple Silver,44,,0,0
315,11,2031,QUINCY AVE,Front,N/A,City,0,Spruce White,21,,0,0
318,11,535,RIVERSHORE CRES,Front,N/A,Joint,0,Spruce Colorado,30,,0,0
319,11,537,RIVERSHORE CRES,Front,N/A,City,0,Spruce Colorado,28,,0,0
331,11,548,RIVERSHORE CRES,Front,N/A,City,0,Ash Green,42,,0,0
349,11,1771,STONEHENGE CRES,Front,N/A,City,0,Maple Norway,39,,0,0
362,11,2011,HOLLYBROOK CRES,Front,N/A,Joint,0,Crabapple Species,33,,0,0
367,11,621,DUFF CRES,Front,N/A,City,0,Fir Balsam,20,,0,0
372,11,625,DUFF CRES,Front,N/A,City,0,Spruce White,35,,0,0
378,11,598,DUFF CRES,Front,N/A,City,0,Fir Douglas,25,,0,0
380,12,145,YORK ST,Oppos,CenterMed,City,0,Ash White,21,EAB,379,0
397,17,3,MUTCHMOR RD,Front,N/A,City,0,Ash White,61,EAB,465,0
400,17,134,BROADWAY AVE,Front,N/A,City,0,Ash White,76,EAB,432,0
408,14,243,MCLEOD ST,Side,Boulevard,City,0,Ash White,20,EAB,396,0
410,14,600-5,MACLAREN ST,Front,N/A,City,0,Ash White,40,EAB,416,0
430,12,244,TUDOR PL,Front,N/A,City,0,Maple Silver,65,,0,0
432,12,244,TUDOR PL,Front,N/A,City,0,Maple Norway,38,,0,0
433,12,2444,TUDOR PL,Front,N/A,City,0,Maple Silver,53,,0,0
435,13,65,WHITEMARL DR,Side,N/A,City,0,Maple Red,9,,0,0
437,13,65,WHITEMARL DR,Side,N/A,City,0,Maple Sugar,10,,0,0
440,13,65,WHITEMARL DR,Side,N/A,Joint,0,Aspen Trembling,37,,0,0
446,13,65,WHITEMARL DR,Front,N/A,City,0,Various Species,0,,0,0
449,13,61,POND ST,Front,N/A,City,0,Various Species,0,,0,0
468,13,100,POND ST,Front,N/A,City,0,Willow Species,20,,0,0
473,13,65,WHITEMARL DR,Front,N/A,City,0,Various Species,0,,0,0
482,13,10,BLUE HERON CRT,Side,N/A,City,0,Maple Sugar,18,,0,0
486,13,10,BLUE HERON CRT,Rear,N/A,City,0,Ash Species,39,,0,0
487,13,10,BLUE HERON CRT,Rear,N/A,City,0,Maple Sugar,17,,0,0
496,13,20,BLUE HERON CRT,Front,N/A,City,0,Beech American,24,,0,0
503,13,35,BLUE HERON CRT,Oppos,N/A,City,0,Maple Red,15,,0,0
508,13,20,WHITEMARL DR,Front,N/A,City,0,Maple Sugar,37,,0,0
510,13,20,WHITEMARL DR,Front,N/A,City,0,Oak Red,33,,0,0
533,13,5,BITTERN CRT,Front,N/A,City,0,Ash Species,18,,0,0
536,13,60,BITTERN CRT,Front,N/A,City,0,Basswood,32,,0,0
538,13,60,BITTERN CRT,Oppos,N/A,City,0,Beech Species,44,,0,0
539,13,30,BITTERN CRT,Front,N/A,City,0,Birch White,41,,0,0
544,13,30,WHITEMARL DR,Front,N/A,City,0,Oak English,19,,0,0
546,13,40,WHITEMARL DR,Front,N/A,Joint,0,Ash Species,41,,0,0
562,13,115,LANSDOWNE RD,Front,N/A,City,0,Spruce White,26,,0,0
563,13,115,LANSDOWNE RD,Front,N/A,City,0,Spruce White,20,,0,0
572,13,115,LANSDOWNE RD,Side,N/A,Joint,0,Elm American,57,,0,0
581,13,125,LANSDOWNE RD,Front,N/A,City,0,Crabapple Species,25,,0,0
583,13,125,LANSDOWNE RD,Front,N/A,City,0,Crabapple Species,19,,0,0
594,13,11,ELLESMERE PL,Front,N/A,City,0,Spruce Colorado,33,,0,0
596,13,175,LANSDOWNE RD,Side,N/A,City,0,Maple Sugar,47,,0,0
601,13,175,LANSDOWNE RD,Front,N/A,City,0,Crabapple Species,16,,0,0
602,13,175,LANSDOWNE RD,Oppos,N/A,City,0,Linden Littleleaf,55,,0,0
604,13,170,LANSDOWNE RD,Front,N/A,City,0,Linden Littleleaf,18,,0,0
616,13,170,LANSDOWNE RD,Front,N/A,City,0,Maple Sugar,17,,0,0
624,13,190,LANSDOWNE RD,Front,N/A,City,0,Hackberry,32,,0,0
632,13,193,LANSDOWNE RD,Side,N/A,City,0,Maple Sugar,12,,0,0
646,13,193,LANSDOWNE RD,Side,N/A,Joint,0,Basswood,8,,0,0
653,13,39,DUNVEGAN RD,Front,N/A,City,0,Serviceberry,7,,0,0
656,13,34,DUNVEGAN RD,Front,N/A,City,0,Oak Red,79,,0,0
664,13,46,FARNHAM CRES,Side,N/A,City,0,Maple Red,39,,0,0
667,13,46,FARNHAM CRES,Front,N/A,City,0,Maple Red,59,,0,0
671,13,29,DUNVEGAN RD,Front,N/A,City,0,Linden Littleleaf,52,,0,0
690,19,20,CHAPELIER PRIV,Rear,N/A,City,-1,Maple Red,5,,0,0
711,19,570,DU PLATEAU ST,Oppos,Boulevard,City,0,Maple Red,5,,0,0
712,19,574,DU PLATEAU ST,Oppos,Boulevard,City,0,Locust Honey,5,,0,0
716,19,580,DU PLATEAU ST,Oppos,Boulevard,City,0,Ginkgo,5,,0,0
735,11,1462,BRADSHAW CRES,Front,N/A,Joint,0,Spruce White,36,,0,0
736,11,1480,BRADSHAW CRES,Side,N/A,City,0,Spruce Colorado,40,,0,0
765,11,1490,RIDGEBROOK DR,Front,N/A,City,0,Maple Sugar,50,,0,0
766,11,1508,MAXIME ST,Front,N/A,City,0,Juniper,32,,0,0
773,11,1602,TELESAT CRT,Side,Median,City,0,Locust Honey,7,,0,0
796,11,1673,CYRVILLE RD,Side,Median,City,0,Locust Honey,7,,0,0
802,11,1673,CYRVILLE RD,Side,Median,City,0,Oak Red,6,,0,0
805,11,1420,MEADOWBROOK RD,Front,N/A,City,0,Oak Red,10,,0,0
807,11,1508,MEADOWBROOK RD,Front,N/A,City,0,Olive Russian,30,,0,0
812,11,1601,TELESAT CRT,Front,Median,City,0,Ash Species,26,,0,0
813,11,1601,TELESAT CRT,Front,Median,City,0,Ash Species,25,,0,0
815,11,1601,TELESAT CRT,Front,Median,City,0,Ash Species,23,,0,0
825,11,1068,BATHGATE DR,Side,N/A,City,0,Ash White,65,,0,0
832,11,613,LA VERENDRYE DR,Front,Median,City,0,Maple Red,24,,0,0
850,13,29,ARUNDEL AVE,Front,N/A,City,0,Buckeye Ohio,21,,0,0
861,13,20,ARUNDEL AVE,Front,N/A,City,0,Maple Sugar,47,,0,0
865,13,19,ARUNDEL AVE,Front,N/A,City,0,Maple Silver,35,,0,0
869,13,16,ARUNDEL AVE,Side,N/A,City,0,Maple Sugar,89,,0,0
880,14,420,LEWIS ST,Front,N/A,City,0,Ash White,16,EAB,406,0
884,18,686,CHAPMAN BLVD,Front,N/A,City,0,Ash Species,67,EAB,723,0
889,18,929,WINGATE DR,Front,Median,City,0,Ash Species,51,EAB,607,0
905,18,905,PLEASANT PARK RD,N/A,N/A,City,-1,Ash Species,54,EAB,613,0
913,18,905,PLEASANT PARK RD,N/A,N/A,City,-1,Ash Species,27,EAB,611,0
916,18,1960,SAUNDERSON DR,Side,Median,City,0,Ash Species,72,EAB,609,0
918,13,758,BORTHWICK AVE,Side,N/A,City,0,Ash Species,70,EAB,334,0
929,18,905,PLEASANT PARK RD,N/A,N/A,City,-1,Ash Species,58,EAB,625,0
935,18,2185,RIVERSIDE DR,Rear,N/A,City,0,Ash White,39,EAB,714,0
938,11,11,COMBERMERE LANE,,N/A,City,-1,Ash White,36,EAB,572,0
942,11,11,COMBERMERE LANE,Front,N/A,City,-1,Ash White,33,EAB,568,0
951,18,2185,RIVERSIDE DR,Front,N/A,City,0,Ash White,40,EAB,716,0
956,1,6018,VOYAGEUR DR,Front,N/A,City,-1,Ash White,28,EAB,530,0
971,1,1756,GREY NUNS DR,Front,N/A,City,-1,Ash White,29,EAB,547,0
973,12,400,CLARENCE ST,Front,N/A,City,-1,Ash White,61,EAB,356,0
983,13,15,ROCKCLIFFE WAY,Front,N/A,City,-1,Ash Species,11,EAB,345,0
985,12,154,MANN AVE,Front,N/A,City,-1,Ash White,40,EAB,457,0
990,17,120,CLEGG ST,Front,N/A,City,-1,Ash White,55,EAB,467,0
991,17,120,CLEGG ST,Front,N/A,City,-1,Ash White,139,EAB,468,0
999,17,408,THIRD AVE,Front,N/A,City,0,Ash White,46,EAB,427,0
